date,sp500_close,sp500_open,sp500_high,sp500_low,sp500_volume
2018-01-01,2716.2219455597487,2707.5516013349034,2721.651527643773,2694.5704179159748,3810321738
2018-01-02,2696.795657881688,2693.113960436821,2714.5893890274365,2687.5785493356216,3351771360
2018-01-03,2714.355211930184,2703.5893617136585,2714.4905513875588,2687.480695154847,3644451800
2018-01-04,2658.219121341869,2654.6497601110086,2675.908544596079,2649.282588928457,3266690553
2018-01-05,2619.7438416206764,2615.7841749953236,2636.0645552255182,2609.835057163573,3022163328
2018-01-06,2713.423526901647,2701.5991581048297,2710.884659186131,2683.9106824778114,4179385447
2018-01-07,2697.3642094060197,2687.553727422278,2699.7342159922414,2672.8711889674432,4164635257
2018-01-08,2686.175934379099,2678.4867597840357,2693.774131586222,2666.970408883872,3509014976
2018-01-09,2682.575118222666,2673.735561152993,2687.2410527631932,2660.502335820276,3741834664
2018-01-10,2682.136383628472,2675.0664022362585,2691.252884263845,2664.4742485995284,3845906923
2018-01-11,2713.613975749139,2698.3988501794847,2702.5406701112342,2675.6497181698296,4533902228
2018-01-12,2652.970915819654,2653.6820003211656,2681.3838452104173,2654.7034089396675,3837368006
2018-01-13,2638.2113023904744,2632.3297261672515,2649.8788634451757,2623.51190958005,4996596582
2018-01-14,2618.3807001736764,2620.106094247941,2649.0000742456486,2622.6418645516624,3245985030
2018-01-15,2707.1882151123505,2700.541182355513,2717.6209006562335,2690.5798966696048,4818505189
2018-01-16,2697.147976195575,2688.263980227193,2701.8482739020255,2674.96421147514,3377486979
2018-01-17,2645.8330428450467,2641.8293659811047,2662.3047660949837,2635.814171407472,4584959811
2018-01-18,2600.6784274047827,2610.9838434877165,2652.720664237276,2626.325433747353,4384734290
2018-01-19,2729.995776446491,2711.8541855471385,2711.7193842285433,2684.7371017984083,3662063517
2018-01-20,2670.130477292035,2666.1045304816566,2686.7899616297136,2660.0557331557866,4744068793
2018-01-21,2643.8446455130465,2641.684420400812,2664.9373694913274,2638.4205797451455,4729355596
2018-01-22,2571.7109997687508,2571.755559037419,2597.630479553534,2571.7834101052404,3366305700
