date,close
2018-01-01,15269.805864646325
2018-01-02,15371.31731870359
2018-01-03,15037.594860944293
2018-01-04,14656.012571242167
2018-01-05,13921.60297924595
2018-01-06,14921.452532164301
2018-01-07,14808.035487143148
2018-01-08,14795.62936884735
2018-01-09,14622.997838937736
2018-01-10,14777.605481078805
2018-01-11,14612.176141146014
2018-01-12,14953.837186552788
2018-01-13,14081.695964602934
2018-01-14,14406.36266055639
2018-01-15,15288.90302525735
2018-01-16,14889.806342776172
2018-01-17,14388.717540692985
2018-01-18,14865.799885516264
2018-01-19,14646.648666692605
2018-01-20,14835.249735692685
2018-01-21,14519.829797041464
2018-01-22,13425.152472235503
2018-01-23,14198.625141391838
2018-01-24,14253.875756383653
2018-01-25,13910.533855503652
2018-01-26,14989.526729941588
2018-01-27,14515.35380770585
2018-01-28,14822.514272700508
2018-01-29,14585.840234202393
2018-01-30,14786.358850818966
2018-01-31,14306.23284392119
2018-02-01,13316.965914967093
2018-02-02,13342.052028812039
2018-02-03,14400.642809449131
2018-02-04,13925.335664371256
2018-02-05,14002.166647089272
2018-02-06,13449.247933435126
2018-02-07,15138.764715453995
2018-02-08,13808.643423090538
2018-02-09,14101.912483290353
2018-02-10,13725.524400886881
2018-02-11,13552.782736670939
2018-02-12,14674.858352055215
2018-02-13,13675.622232351301
2018-02-14,13724.689385189979
2018-02-15,12542.201229057813
2018-02-16,13337.068131775017
2018-02-17,13917.11435263124
2018-02-18,14467.630990786338
2018-02-19,14124.257840725068
2018-02-20,13948.893330825857
2018-02-21,14197.195065147276
2018-02-22,13570.677309935258
2018-02-23,13490.85777302302
2018-02-24,12271.371266984524
2018-02-25,13083.670378495815
2018-02-26,12388.905449439335
2018-02-27,13945.360098003
2018-02-28,12917.307939123166
2018-03-01,13133.01877649098
2018-03-02,13287.135668946888
2018-03-03,12422.225595072669
2018-03-04,13407.053935119391
2018-03-05,12639.661907978552
2018-03-06,12609.305800795702
2018-03-07,13169.367838333115
2018-03-08,13315.857493571528
2018-03-09,13997.656845809066
2018-03-10,12178.828285560754
2018-03-11,12294.516050365319
2018-03-12,12211.759992506997
2018-03-13,12534.627927452653
2018-03-14,12127.064528387451
2018-03-15,12640.675343666424
2018-03-16,12563.176927488703
2018-03-17,12345.626506783921
2018-03-18,13434.434474152884
2018-03-19,12922.6731191494
2018-03-20,12623.809975403068
2018-03-21,12391.211180493903
2018-03-22,12483.876855340697
2018-03-23,12074.965666179292
2018-03-24,12247.91654241746
2018-03-25,13231.059366276715
2018-03-26,11695.75521490638
2018-03-27,12500.53312949814
2018-03-28,12456.02230155266
2018-03-29,11900.991823485198
2018-03-30,11968.321796830449
2018-03-31,12906.659577255125
2018-04-01,12399.950144239605
2018-04-02,12277.99593780844
2018-04-03,11534.30041912345
2018-04-04,11730.26040259976
2018-04-05,12391.304862399555
2018-04-06,12612.521065385015
2018-04-07,12723.121043941916
2018-04-08,11770.45046116071
2018-04-09,12096.783431021697
2018-04-10,12283.007941524558
2018-04-11,11889.569261594525
2018-04-12,11631.036997532485
2018-04-13,12403.105230628813
2018-04-14,11895.063742011125
2018-04-15,10702.281784296623
2018-04-16,11484.31970921634
2018-04-17,12234.508422720211
2018-04-18,11555.887049900037
2018-04-19,11862.639180017752
2018-04-20,11010.617793312016
2018-04-21,11573.316538936388
2018-04-22,11224.562754055029
2018-04-23,11138.872258131169
2018-04-24,11533.386246604072
2018-04-25,11908.591247623475
2018-04-26,10195.671005460787
2018-04-27,11275.61462051383
2018-04-28,11805.98424543665
2018-04-29,11280.939467014427
2018-04-30,12280.156046528788
2018-05-01,10838.761877814955
2018-05-02,10573.12153991398
2018-05-03,11068.197033646305
2018-05-04,11753.851164915202
2018-05-05,10912.59978645245
2018-05-06,11220.214308316594
2018-05-07,10686.396503659062
2018-05-08,11123.289788251022
2018-05-09,11365.16724518108
2018-05-10,11093.226117244541
