date,fng,close,rainbow_mid,rainbow_min,rainbow_max,rainbow_position,ath,drawdown,rolling_low_30,gain_from_30d_low,sp500_bullish,pos,portfolio_value,cash,btc_value,fees_paid,trade,equity,bh_equity,ret,strategy_ret
2018-01-01,50,15269.805864646323,3901.1821096762646,1429.109824335923,15347.556153909833,0.9978605510453142,15269.805864646323,0.0,,,1,92,99.816,7.908000000000001,91.908,0.092,1,0.99816,1.0,0.0,0.0
2018-01-02,50,15371.31731870359,3907.221939735776,1431.3223794622158,15371.317318703575,1.0,15371.31731870359,0.0,,,1,92,100.42686489077879,8.03403312472101,92.39283176605778,0.00012615928400501274,1,1.0042686489077879,1.0066478549208207,0.0066478549208206505,0.006119909541344004
2018-01-03,50,15037.594860944291,3913.269278652405,1433.53768528847,15395.108023929688,0.9901022098545157,15371.31731870359,-2.1710725947556297,,,1,92,98.42062872644834,7.873515598093528,90.54711312835481,0.00016035716945802392,1,0.9842062872644834,0.9847927992169394,-0.021710725947556297,-0.01997708647494245
2018-01-04,50,14656.012571242169,3919.3241334726863,1435.7557443960234,15418.928297309787,0.9786237402794538,15371.31731870359,-4.653503227020428,,,1,92,96.12260838411171,7.689654381596206,88.4329540025155,0.0001836775389583636,1,0.9612260838411172,0.9598034645073484,-0.025375220787013597,-0.023348970353804344
2018-01-05,50,13921.60297924595,3925.386511247555,1437.9765593678267,15442.778166582804,0.9563168372991963,15371.31731870359,-9.431295375664705,,,1,92,91.69054364677079,7.334945834219384,84.35559781255141,0.0003543541931836387,1,0.916905436467708,0.9117079223304454,-0.05010978179953718,-0.0461084526507034
2018-01-06,50,14921.4525321643,3931.4564190325373,1440.2001327885125,15466.657659505732,0.9848828613717159,15371.31731870359,-2.9266508342255193,,,1,92,97.74847787376719,7.819432056403468,89.92904581736371,0.00048497119337746145,1,0.9774847787376718,0.9771867870770673,0.07182000193576155,0.06606934571501744
2018-01-07,50,14808.035487143148,3937.533863887464,1442.4264672442903,15490.566803852502,0.9810180765299369,15371.31731870359,-3.664499404192567,,,1,92,97.06482424025285,7.7651403797713,89.29968386048155,5.423743919297408e-05,1,0.9706482424025284,0.96975925027493,-0.007600938633599674,-0.006994007972146776
2018-01-08,50,14795.62936884735,3943.6188528767925,1444.655565323064,15514.505627415238,0.9800145250496686,15371.31731870359,-3.7452089363593455,,,1,92,96.99000928976785,7.7651403797713,89.22486890999656,0.0,0,0.9699000928976785,0.9689467895006564,-0.0008377963644514708,-0.0007707730485331243
2018-01-09,50,14622.997838937736,3949.711393069347,1446.8874296143374,15538.474158003251,0.9744203407667044,15371.31731870359,-4.8682846385280865,,,1,92,95.94877843116188,7.675827326476197,88.27295110468569,8.9223829465638e-05,1,0.9594877843116189,0.9576413720356379,-0.011667738195246802,-0.010735444467225297
2018-01-10,50,14777.605481078805,3955.811491538451,1449.1220627092625,15562.472423443547,0.9782006771863676,15371.31731870359,-3.8624655604654334,,,1,92,96.88200567195378,7.750491693778403,89.13151397817538,7.473910640861448e-05,1,0.9688200567195377,0.96776642820934,0.01057291014085937,0.009726306640385651
2018-01-11,50,14612.176141146014,3961.9191553619557,1451.3594672006504,15586.500451580952,0.9728085015844347,15371.31731870359,-4.9386865277568965,,,1,92,95.88405477212156,7.670657387946649,88.21339738417491,7.975455128047316e-05,1,0.9588405477212156,0.9569326729278924,-0.011194597131761741,-0.010300683732862859
2018-01-12,50,14953.837186552788,3968.0343916220827,1453.5996456829125,15610.55827027748,0.9818949909057667,15371.31731870359,-2.7159684722845356,,,1,92,97.9464901802774,7.835567345392314,90.11092283488507,0.0001650750324781427,1,0.9794649018027739,0.9793076165542426,0.0233819413416938,0.02150968076034565
