date,fng,close,rainbow_mid,rainbow_min,rainbow_max,rainbow_position,fng_ma7,fng_ma14,fng_ma21,fng_velocity_7,fng_velocity_14,fng_above_ma,rainbow_ma7,rainbow_ma14,rainbow_ma21,rainbow_velocity_7,rainbow_velocity_14,rainbow_above_ma,fng_x_rainbow,fng_rainbow_concordance,price_volatility_14,future_return,future_volatility,optimal_allocation,pos,portfolio_value,cash,btc_value,fees_paid,trade,equity,bh_equity,ret,strategy_ret
2018-01-01,50,15269.805864646323,3901.1821096762646,1429.109824335923,15347.556153909833,0.9978605510453142,50.0,50.0,50.0,0.0,0.0,0,0.9978605510453142,0.9978605510453142,0.9978605510453142,0.0,0.0,0,49.893027552265714,1,,-0.06310316118399784,0.03701571425768273,80,81.74285714285715,99.83651428571429,18.175399999999996,81.66111428571429,0.08174285714285714,1,0.9983651428571428,1.0,0.0,0.0
2018-01-02,50,15371.31731870359,3907.221939735776,1431.3223794622158,15371.317318703575,1.0,50.0,50.0,50.0,0.0,0.0,0,0.9989302755226571,0.9989302755226571,0.9989302755226571,0.0,0.0,1,50.0,0,,-0.1336483634513741,0.03897451082974018,80,81.74285714285715,100.37923451834364,18.326256806818254,82.05297771152539,0.0001510078146328908,1,1.0037923451834363,1.0066478549208207,0.0066478549208206505,0.0054360895561336164
2018-01-03,50,15037.594860944291,3913.269278652405,1433.53768528847,15395.108023929688,0.9901022098545157,50.0,50.0,50.0,0.0,0.0,0,0.9959875869666099,0.9959875869666099,0.9959875869666099,0.0,0.0,0,49.505110492725784,1,0.02005254483685643,-0.1127535917685828,0.038843453718162134,80,81.74285714285715,98.59715457660904,18.000816962721288,80.59633761388775,0.0003251147293675984,1,0.9859715457660905,0.9847927992169394,-0.021710725947556297,-0.01775347212285161
2018-01-04,50,14656.012571242169,3919.3241334726863,1435.7557443960234,15418.928297309787,0.9786237402794538,50.0,50.0,50.0,0.0,0.0,0,0.991646625294821,0.991646625294821,0.991646625294821,0.0,0.0,0,48.93118701397269,1,0.01752671774314084,-0.01742423190152831,0.041407405233635196,88,81.74285714285715,96.55125835597102,17.627264252728217,78.9239941032428,0.00037317953046260755,1,0.9655125835597101,0.9598034645073484,-0.025375220787013597,-0.02075005338058089
2018-01-05,50,13921.60297924595,3925.386511247555,1437.9765593678267,15442.778166582804,0.9563168372991963,50.0,50.0,50.0,0.0,0.0,0,0.984580667695696,0.984580667695696,0.984580667695696,0.0,0.0,0,47.815841864959815,1,0.02324300829807511,0.00026812179106605605,0.04080362445381481,92,81.74285714285715,92.59495061615537,16.904734167351876,75.6902164488035,0.0007218082770992424,1,0.9259495061615537,0.9117079223304454,-0.05010978179953718,-0.04097624212446083
2018-01-06,50,14921.4525321643,3931.4564190325373,1440.2001327885125,15466.657659505732,0.9848828613717159,50.0,50.0,50.0,0.0,0.0,0,0.984631033308366,0.984631033308366,0.984631033308366,0.0,0.0,1,49.24414306858579,0,0.04679318246482043,-0.06160833759940176,0.03855854480261048,80,81.74285714285715,98.03002917844341,17.896670820996484,80.13335835744694,0.0009929295832278341,1,0.9803002917844341,0.9771867870770673,0.07182000193576155,0.05869735364748663
2018-01-07,50,14808.035487143148,3937.533863887464,1442.4264672442903,15490.566803852502,0.9810180765299369,50.0,50.0,50.0,0.0,0.0,0,0.9841148966257333,0.9841148966257333,0.9841148966257333,0.0,0.0,0,49.05090382649684,1,0.04188267954410216,-0.09176014974354763,0.039169968255542795,80,81.74285714285715,97.4207196579597,17.786169878179727,79.63454977977996,0.00011039055226449079,1,0.974207196579597,0.96975925027493,-0.007600938633599674,-0.006215539519779156
2018-01-08,50,14795.62936884735,3943.6188528767925,1444.655565323064,15514.505627415238,0.9800145250496686,50.0,50.0,50.0,0.0,0.0,0,0.981565464340641,0.9836023501787252,0.9836023501787252,-0.017846025995645665,0.0,0,49.00072625248343,1,0.03825702208545074,0.023191669516210434,0.04562394031181284,95,85.5945945945946,97.34647825928113,14.02047675281931,83.32600150646182,0.0037619311941662517,1,0.9734647825928113,0.9689467895006564,-0.0008377963644514708,-0.0007620699060654212
2018-01-09,50,14622.997838937736,3949.711393069347,1446.8874296143374,15538.474158003251,0.9744203407667044,50.0,50.0,50.0,0.0,0.0,0,0.9779112273073131,0.9825821269107229,0.9825821269107229,-0.025579659233295637,0.0,0,48.72101703833522,1,0.03552595294593495,-0.055689977172721505,0.04843110056114671,80,85.5945945945946,96.37397753883863,13.882964373632426,82.4910131652062,0.0001373750041827009,1,0.9637397753883863,0.9576413720356379,-0.011667738195246802,-0.009990096589342023
2018-01-10,50,14777.605481078805,3955.811491538451,1449.1220627092625,15562.472423443547,0.9782006771863676,50.0,50.0,50.0,0.0,0.0,0,0.9762110083547205,0.9821439819382872,0.9821439819382872,-0.011901532668148085,0.0,0,48.91003385931838,1,0.03362701228221245,-0.045724119422027254,0.04855636289881421,85,85.5945945945946,97.24602187103228,14.008576066707501,83.23744580432478,0.00012573743050558052,1,0.9724602187103228,0.96776642820934,0.01057291014085937,0.009048545618470794
