date,fng,close,rainbow_mid,rainbow_min,rainbow_max,rainbow_position,pos,portfolio_value,cash,btc_value,fees_paid,trade,equity,bh_equity,ret,strategy_ret
2018-01-01,50,15269.805864646323,3901.1821096762646,1429.109824335923,15347.556153909833,0.9978605510453142,95,99.81,4.905000000000001,94.905,0.095,1,0.9981,1.0,0.0,0.0
2018-01-02,50,15371.31731870359,3907.221939735776,1431.3223794622158,15371.317318703575,1.0,95,100.44079762552694,5.02192868782947,95.41886893769747,0.00011704573356303172,1,1.0044079762552693,1.0066478549208207,0.0066478549208206505,0.006319984225297448
2018-01-03,50,15037.594860944291,3913.269278652405,1433.53768528847,15395.108023929688,0.9901022098545157,95,98.36897777289033,4.918355766137508,93.45062200675282,0.00010346945223972171,1,0.9836897777289033,0.9847927992169394,-0.021710725947556297,-0.02062727399239661
2018-01-04,50,14656.012571242169,3919.3241334726863,1435.7557443960234,15418.928297309787,0.9786237402794538,95,95.99741066001363,4.79976390695347,91.19764675306016,0.00011847338579823941,1,0.9599741066001363,0.9598034645073484,-0.025375220787013597,-0.024108892524552505
2018-01-05,50,13921.60297924595,3925.386511247555,1437.9765593678267,15442.778166582804,0.9563168372991963,95,91.42705970442066,4.571147435946405,86.85591226847426,0.00022838808292414116,1,0.9142705970442065,0.9117079223304454,-0.05010978179953718,-0.047609106580795424
2018-01-06,50,14921.4525321643,3931.4564190325373,1440.2001327885125,15466.657659505732,0.9848828613717159,95,97.6647393865362,4.882940469445117,92.78179891709108,0.00031210513863734945,1,0.9766473938653619,0.9771867870770673,0.07182000193576155,0.06822574960062888
2018-01-07,50,14808.035487143148,3937.533863887464,1442.4264672442903,15490.566803852502,0.9810180765299369,95,96.95944069677617,4.847940566394509,92.11150013038166,3.496493811249479e-05,1,0.9695944069677617,0.96975925027493,-0.007600938633599674,-0.00722163079725846
2018-01-08,50,14795.62936884735,3943.6188528767925,1444.655565323064,15514.505627415238,0.9800145250496686,95,96.88227001684277,4.847940566394509,92.03432945044825,0.0,0,0.9688227001684276,0.9689467895006564,-0.0008377963644514708,-0.0007959068181379036
2018-01-09,50,14622.997838937736,3949.711393069347,1446.8874296143374,15538.474158003251,0.9744203407667044,95,95.80832251846263,4.7903643591033935,91.01795815935924,5.7518688602513633e-05,1,0.9580832251846263,0.9576413720356379,-0.011667738195246802,-0.01108507777732115
2018-01-10,50,14777.605481078805,3955.811491538451,1449.1220627092625,15562.472423443547,0.9782006771863676,95,96.77059904328458,4.838484192562841,91.93211485072173,4.8168001460908275e-05,1,0.9677059904328458,0.96776642820934,0.01057291014085937,0.010043767592700537
2018-01-11,50,14612.176141146014,3961.9191553619557,1451.3594672006504,15586.500451580952,0.9728085015844347,95,95.74135323128017,4.78702139131313,90.95433183996704,5.1411389859850945e-05,1,0.9574135323128017,0.9569326729278924,-0.011194597131761741,-0.010635935110250072
2018-01-12,50,14953.837186552788,3968.0343916220827,1453.5996456829125,15610.55827027748,0.9818949909057667,95,97.86793570242239,4.8932957234439165,92.97463997897847,0.00010638071284363093,1,0.9786793570242238,0.9793076165542426,0.0233819413416938,0.022211744448661364
2018-01-13,50,14081.695964602934,3974.1572074056485,1455.8426007521439,15634.645907413218,0.9559318634869901,95,92.4449047579882,4.622001316854526,87.82290344113368,0.00027102338320618457,1,0.924449047579882,0.9221922065954891,-0.05832223603010245,-0.055411723007252056
2018-01-14,50,14406.36266055639,3980.2876098039033,1458.0883350060635,15658.763390885706,0.9648845348192375,95,94.46964260686134,4.723385718749685,89.74625688811166,0.00010148588778294255,1,0.9446964260686134,0.9434542120742323,0.023055937066782883,0.021902103249213267
2018-01-15,50,15288.90302525735,3986.425605912531,1460.3368510440148,15682.910748609916,0.9892816415494863,95,99.96726435407527,4.998101976017683,94.96916237805759,0.00027499124851651405,1,0.9996726435407527,1.001250648553119,0.061260457305944094,0.05819458606499084
2018-01-16,50,14889.806342776172,3992.5712028317466,1462.588151467001,15707.088008518653,0.9774905708463463,95,97.48797203466913,4.874287279828797,92.61368475484034,0.00012369100518370147,1,0.9748797203466912,0.9751143187255608,-0.026103683293815738,-0.02480104197534816
2018-01-17,50,14388.717540692984,3998.7244076662655,1464.8422388776735,15731.295198562424,0.9624215474611467,95,94.37091888201064,4.71840579091371,89.65251309109694,0.00015572576315193488,1,0.9437091888201065,0.9422986558071904,-0.03365314434235689,-0.03197372032264645
2018-01-18,50,14865.799885516264,4004.8852275252366,1467.0991158803083,15755.532346709175,0.9755136322325587,95,97.34335130662808,4.867026234579181,92.4763250720489,0.00014876921287834932,1,0.9734335130662808,0.9735421666318993,0.0331566967990049,0.03149733477040506
2018-01-19,50,14646.648666692605,4011.0536695223414,1469.358785080842,15779.799480944688,0.9686090747407065,95,95.97993178424062,4.798935368653255,91.18099641558736,6.802284308284356e-05,1,0.9597993178424062,0.9591902344091686,-0.014741972884834698,-0.014006293229958167
2018-01-20,50,14835.249735692683,4017.2297407756955,1471.6212490868352,15804.09662927219,0.9733506133666869,95,97.15398689059619,4.857643515961294,92.29634337463489,5.8766914222260876e-05,1,0.9715398689059619,0.9715414765056213,0.012876738787963804,0.012232297778610679
2018-01-21,50,14519.829797041464,4023.413448407981,1473.886510507521,15828.423819712869,0.9636497541208437,95,95.19143034197636,4.759483261125438,90.43194708085092,9.806219264321214e-05,1,0.9519143034197636,0.9508850293020913,-0.021261518631016996,-0.020200473613397274
2018-01-22,50,13425.152472235504,4029.604799546347,1476.15457195377,15852.781080305487,0.9299824615847011,95,88.37291386426254,4.418338970074327,83.95457489418821,0.00034080348756354795,1,0.8837291386426255,0.879196015407001,-0.07539188407215414,-0.07162952014922153
2018-01-23,50,14198.625141391838,4035.8038013223127,1478.4254360380523,15877.168439106003,0.9529311347614525,95,93.20960516585633,4.660250212566719,88.54935495328961,0.00024215339588828046,1,0.9320960516585634,0.929849748402201,0.05761369718190901,0.05473047215601334
