date,close,rainbow_position_v2,rainbow_v2_fire_sale,rainbow_v2_buy,rainbow_v2_accumulate,rainbow_v2_still_cheap,rainbow_v2_is_bubble,rainbow_v2_fomo,rainbow_v2_sell,rainbow_v2_max_bubble
2018-01-01,15269.805864646323,0.99723824319927,1547.9449563320736,3522.082681693142,5496.22040705421,7470.358132415278,9444.495857776346,11418.633583137416,13392.771308498483,15366.909033859552
2018-01-02,15371.31731870359,0.9998884236879492,1551.0331833681926,3525.9215751764996,5500.809966984806,7475.698358793112,9450.58675060142,11425.475142409727,13400.363534218031,15375.25192602634
2018-01-03,15037.594860944291,0.9900759812789925,1554.1257226298535,3529.7673303051984,5505.408937980543,7481.050545655888,9456.692153331232,11432.333761006577,13407.975368681922,15383.616976357267
2018-01-04,14656.012571242169,0.9786125309217915,1557.2225767526154,3533.6199513904266,5510.017326028237,7486.414700666048,9462.81207530386,11439.209449941673,13415.606824579481,15392.004199217294
2018-01-05,13921.60297924595,0.9559063043134104,1560.3237483686282,3537.4794427511056,5514.635137133583,7491.79083151606,9468.946525898538,11446.102220281016,13423.257914663493,15400.41360904597
2018-01-06,14921.4525321643,0.985952394705195,1563.4292401071855,3541.3458087142217,5519.262377321258,7497.178945928294,9475.095514535331,11453.012083142366,13430.928651749402,15408.84522035644
2018-01-07,14808.035487143148,0.9823669010300721,1566.5390545941584,3545.219053615348,5523.899052636538,7502.579051657726,9481.259050678917,11459.939049700108,13438.619048721295,15417.299047742486
2018-01-08,14795.62936884735,0.9817485271017099,1569.6531944521403,3549.09918179733,5528.54516914252,7507.991156487709,9487.4371438329,11466.883131178089,13446.329118523277,15425.77510586847
2018-01-09,14622.997838937736,0.9763568376244649,1572.7716623003869,3552.9861976116754,5533.200732922964,7513.415268234252,9493.62980354554,11473.844338856828,13454.058874168117,15434.273409479405
2018-01-10,14777.605481078805,0.9807084003204722,1575.8944607552226,3556.880105417027,5537.865750078832,7518.851394740637,9499.83703940244,11480.822684064246,13461.80832872605,15442.793973387856
2018-01-11,14612.176141146014,0.9755181712151427,1579.0215924293113,3560.7809095809953,5542.540226732679,7524.299543884363,9506.058861036046,11487.818178187732,13469.577495339414,15451.3368124911
2018-01-12,14953.837186552788,0.9853992961090454,1582.1530599324753,3564.6886144782575,5547.22416902404,7529.759723569822,9512.295278115605,11494.830832661388,13477.36638720717,15459.901941752953
2018-01-13,14081.695964602934,0.9587675006180203,1585.288865870913,3568.603224492348,5551.917583113784,7535.231941735219,9518.546300356653,11501.860658978088,13485.175017599524,15468.48937622096
2018-01-14,14406.36266055639,0.9685096228464155,1588.4290128477612,3572.5247440144058,5556.62047518105,7540.716206347694,9524.811937514338,11508.907668680982,13493.003399847626,15477.09913101427
2018-01-15,15288.90302525735,0.9943777320891092,1591.5735034627762,3576.4531774426096,5561.332851422442,7546.212525402275,9531.092199382108,11515.971873361943,13500.851547341774,15485.731221321608
2018-01-16,14889.806342776172,0.9824956964041464,1594.722340312379,3580.3885291848264,5566.054718057274,7551.720906929722,9537.387095802169,11523.05328467462,13508.719473547066,15494.385662419514
2018-01-17,14388.717540692984,0.9671737306939667,1597.8755259898567,3584.3308036553117,5570.786081320767,7557.241358986223,9543.696636651677,11530.151914317134,13516.607191982588,15503.062469648044
2018-01-18,14865.799885516264,0.981269821958895,1601.0330630851997,3588.280005277463,5575.526947469726,7562.773889661989,9550.020831854254,11537.267774046517,13524.51471623878,15511.761658431044
2018-01-19,14646.648666692605,0.9744665714721381,1604.1949541849895,3592.236138481989,5580.277322778989,7568.318507075988,9556.359691372989,11544.40087566999,13532.442059966988,15520.483244263989
2018-01-20,14835.249735692683,0.9798434004496479,1607.3612018724957,3596.1992077069963,5585.037213541496,7573.875219375997,9562.713225210497,11551.551231045,13540.389236879499,15529.227242714
2018-01-21,14519.829797041464,0.9701009262438911,1610.531808727775,3600.169217399811,5589.806626071846,7579.444034743881,9569.081443415918,11558.718852087955,13548.356260759989,15537.993669432026
2018-01-22,13425.152472235504,0.9352304662909491,1613.7067773274525,3604.146172014621,5594.5855667017895,7585.024961388957,9575.464356076125,11565.903750763295,13556.34314545046,15546.78254013763
2018-01-23,14198.625141391838,0.9596826550615642,1616.8861102448739,3608.1300760136214,5599.374041782369,7590.6180075511165,9581.861973319865,11573.105939088613,13564.34990485736,15555.593870626108
2018-01-24,14253.875756383652,0.9611233369676174,1620.0698100502568,3612.120933867438,5604.17205768462,7596.223181501801,9588.274305318982,11580.325429136166,13572.376552953345,15564.427676770529
2018-01-25,13910.533855503652,0.9500643882874629,1623.2578793102082,3616.118750054425,5608.979620798642,7601.840491542859,9594.701362287076,11587.562233031293,13580.423103775509,15573.283974519727
2018-01-26,14989.526729941588,0.9828407986632741,1626.4503205881397,3620.123529060293,5613.796737532446,7607.4699460045995,9601.143154476753,11594.816362948906,13588.48957142106,15582.162779893213
2018-01-27,14515.35380770585,0.9683434998409297,1629.6471364439963,3624.135275379336,5618.623414314676,7613.111553250015,9607.599692185355,11602.087831120694,13596.575970056034,15591.064108991373
2018-01-28,14822.514272700508,0.9773486274826243,1632.8483294346215,3628.1539935132896,5623.459657591958,7618.765321670626,9614.070985749295,11609.376649827962,13604.68231390663,15599.9879779853
2018-01-29,14585.840234202393,0.9699443291089426,1636.0539021133247,3632.179687971545,5628.305473829765,7624.431259687985,9620.557045546206,11616.682831404427,13612.808617262646,15608.934403120868
2018-01-30,14786.358850818966,0.9757281668339314,1639.2638570299794,3636.212363272255,5633.160869514531,7630.109375756807,9627.057881999082,11624.00638824136,13620.954894483633,15617.90340072591
