date,close,rainbow_position_v2,rainbow_v2_fire_sale,rainbow_v2_buy,rainbow_v2_accumulate,rainbow_v2_still_cheap,rainbow_v2_is_bubble,rainbow_v2_fomo,rainbow_v2_sell,rainbow_v2_max_bubble
2018-01-01,15269.805864646323,1.0,2153.0859717479807,2886.077384190743,3619.068796633505,4352.060209076268,5085.051621519029,5818.043033961792,6551.034446404554,7284.025858847316
2018-01-02,15371.31731870359,1.0,2156.2868770654018,2889.199988550689,3622.1131000359765,4355.026211521264,5087.939323006551,5820.852434491839,6553.765545977125,7286.678657462412
2018-01-03,15037.594860944291,1.0,2159.4923369661474,2892.3276079728744,3625.1628789796014,4357.998149986328,5090.833420993055,5823.668691999783,6556.503963006509,7289.339234013237
2018-01-04,14656.012571242169,1.0,2162.702357503866,2895.460247838662,3628.218138173458,4360.976028508254,5093.73391884305,5826.491809177845,6559.249699512642,7292.007589847438
2018-01-05,13921.60297924595,1.0,2165.9169447396303,2898.5979135395855,3631.2788823395404,4363.959851139496,5096.640819939451,5829.321788739406,6562.0027575393615,7294.683726339316
2018-01-06,14921.4525321643,1.0,2169.136104741874,2901.740610476271,3634.3451162106676,4366.949621945065,5099.554127679461,5832.158633413858,6564.763139148255,7297.367644882652
2018-01-07,14808.035487143148,1.0,2172.359843586542,2904.88834405904,3637.416844531537,4369.945345004035,5102.473845476532,5835.00234594903,6567.530846421527,7300.059346894026
2018-01-08,14795.62936884735,1.0,2175.588167357171,2908.0411197081125,3640.494072059054,4372.947024409996,5105.399976760937,5837.852929111878,6570.305881462819,7302.758833813761
2018-01-09,14622.997838937736,1.0,2178.821082144723,2911.1989428530537,3643.5768035613846,4375.954664269716,5108.332524978046,5840.710385686378,6573.088246394709,7305.4661071030405
2018-01-10,14777.605481078805,1.0,2182.058594047517,2914.361818933122,3646.665043818727,4378.968268704331,5111.271493589937,5843.574718475542,6575.877943361147,7308.181168246752
2018-01-11,14612.176141146014,1.0,2185.300709171458,2917.5297533971193,3649.7587976227805,4381.987841848442,5114.216886074104,5846.445930299766,6578.6749745254265,7310.904018751088
