date,fng,close,sp500_close,sp500_open,sp500_high,sp500_low,sp500_volume,btc_return,sp500_return,btc_cumret,sp500_cumret,sp500_ma7,sp500_ma14,sp500_ma21,sp500_ma50,sp500_above_ma7,sp500_above_ma21,sp500_above_ma50,sp500_dist_ma21,sp500_dist_ma50,sp500_ma7_above_ma21,sp500_ma21_above_ma50,sp500_volatility_14,sp500_momentum_7,sp500_momentum_14,sp500_momentum_21,sp500_rsi,rainbow_mid,rainbow_min,rainbow_max,rainbow_position,sp500_bullish,pos,portfolio_value,cash,btc_value,fees_paid,trade,equity,bh_equity,ret,strategy_ret
2018-01-01,50,15269.805864646323,2716.2219455597487,2707.551601334904,2721.651527643773,2694.5704179159748,3810321738,,,,,,,,,0,0,0,,,0,0,,,,,,3901.1821096762646,1429.109824335923,15347.556153909833,0.9978605510453142,0,85,99.83000000000001,14.915000000000006,84.915,0.085,1,0.9983000000000001,1.0,0.0,0.0
2018-01-02,50,15371.31731870359,2696.795657881688,2693.113960436821,2714.5893890274365,2687.5785493356216,3351771360,0.0066478549208206,-0.0071519515221564,1.0066478549208209,0.9928480484778436,,,,,0,0,0,,,0,0,,,,,,3907.221939735776,1431.3223794622158,15371.317318703575,1.0,0,85,100.39435842521142,15.059031214700141,85.33532721051128,0.00014417539009022563,1,1.0039435842521143,1.0066478549208207,0.0066478549208206505,0.0056531946830753466
2018-01-03,50,15037.594860944291,2714.355211930184,2703.5893617136585,2714.4905513875588,2687.480695154847,3644451800,-0.0217107259475562,0.0065112660639214,0.9847927992169392,0.999312746282528,,,,,0,0,0,,,0,0,,,,,,3913.269278652405,1433.53768528847,15395.108023929688,0.9901022098545157,0,85,98.54111096002633,14.780972197138519,83.7601387628878,0.0002777812363252963,1,0.9854111096002633,0.9847927992169394,-0.021710725947556297,-0.01845967735891918
2018-01-04,50,14656.012571242169,2658.219121341869,2654.6497601110086,2675.908544596079,2649.282588928457,3266690553,-0.0253752207870135,-0.0206811880558537,0.9598034645073484,0.9786457714500476,,,,,0,0,0,,,0,0,,,,,,3919.3241334726863,1435.7557443960234,15418.928297309787,0.9786237402794538,0,85,96.41504170505661,14.462033221509794,81.95300848354681,0.00031862035527345257,1,0.9641504170505661,0.9598034645073484,-0.025375220787013597,-0.021575454490584844
2018-01-05,50,13921.60297924595,2619.7438416206764,2615.784174995324,2636.0645552255182,2609.835057163573,3022163328,-0.0501097817995371,-0.0144740813171828,0.9117079223304452,0.9644807729733624,,,,,0,0,0,,,0,0,,,,,,3925.386511247555,1437.9765593678267,15442.778166582804,0.9563168372991963,0,85,92.30716278398708,13.845643375747878,78.4615194082392,0.0006157740716902254,1,0.9230716278398708,0.9117079223304454,-0.05010978179953718,-0.04260620384976799
2018-01-06,50,14921.4525321643,2713.423526901647,2701.5991581048297,2710.884659186131,2683.9106824778114,4179385447,0.0718200019357615,0.0357591012497682,0.977186787077067,0.9989697385875717,,,,,0,0,0,,,0,0,,,,,,3931.4564190325373,1440.2001327885125,15466.657659505732,0.9848828613717159,0,85,97.94142356275641,14.690494691952221,83.25092887080419,0.0008456970132175598,1,0.9794142356275641,0.9771867870770673,0.07182000193576155,0.061038175249242155
2018-01-07,50,14808.035487143148,2697.36420940602,2687.553727422278,2699.7342159922414,2672.8711889674432,4164635257,-0.0076009386335996,-0.0059184706465506,0.9697592502749296,0.9930573655129488,2688.017644948833,,,,1,0,0,,,0,0,,,,,,3937.533863887464,1442.4264672442903,15490.566803852502,0.9810180765299369,0,85,97.3084499633437,14.596201555245116,82.71224840809859,9.419893776933463e-05,1,0.973084499633437,0.96975925027493,-0.007600938633599674,-0.006462777202815739
2018-01-08,50,14795.62936884735,2686.175934379099,2678.486759784036,2693.774131586222,2666.970408883872,3509014976,-0.0008377963644514,-0.0041478547790863,0.9689467895006562,0.9889383077734988,2683.725357637312,,,,1,0,0,,,0,0,,-1.1061692226500996,,,,3943.6188528767925,1444.655565323064,15514.505627415238,0.9800145250496686,0,85,97.239133285404,14.585862762885872,82.65327052251813,1.032846389534825e-05,1,0.9723913328540399,0.9689467895006564,-0.0008377963644514708,-0.0007123397604814619
2018-01-09,50,14622.997838937736,2682.575118222666,2673.735561152993,2687.241052763193,2660.502335820276,3741834664,-0.0116677381952468,-0.0013404990009582,0.9576413720356376,0.9876126369599192,2681.6938519717373,,,,1,0,0,,,0,0,,-0.5273124649789795,,,,3949.711393069347,1446.8874296143374,15538.474158003251,0.9744203407667044,0,85,96.27446726540977,14.441068835316669,81.8333984300931,0.00014464927829091324,1,0.9627446726540977,0.9576413720356379,-0.011667738195246802,-0.009920553458275472
2018-01-10,50,14777.605481078805,2682.136383628472,2675.0664022362585,2691.252884263845,2664.4742485995284,3845906923,0.0105729101408593,-0.0001635497888629,0.9677664282093396,0.987451113121666,2677.09116221435,,,,1,0,0,,,0,0,,-1.18697907186589,,,,3955.811491538451,1449.1220627092625,15562.472423443547,0.9782006771863676,0,85,97.13955454970258,14.570822781200135,82.56873176850245,0.00012988382971317947,1,0.9713955454970258,0.96776642820934,0.01057291014085937,0.008985635640111456
