date,fng,close,sp500_close,sp500_open,sp500_high,sp500_low,sp500_volume,btc_return,sp500_return,btc_cumret,sp500_cumret,sp500_ma7,sp500_ma14,sp500_ma21,sp500_ma50,sp500_above_ma7,sp500_above_ma21,sp500_above_ma50,sp500_dist_ma21,sp500_dist_ma50,sp500_ma7_above_ma21,sp500_ma21_above_ma50,sp500_volatility_14,sp500_momentum_7,sp500_momentum_14,sp500_momentum_21,sp500_rsi
2018-01-01,50,15269.805864646323,2716.2219455597487,2707.551601334904,2721.651527643773,2694.5704179159748,3810321738,,,,,,,,,0,0,0,,,0,0,,,,,
2018-01-02,50,15371.31731870359,2696.795657881688,2693.113960436821,2714.5893890274365,2687.5785493356216,3351771360,0.0066478549208206505,-0.007151951522156419,1.0066478549208207,0.9928480484778436,,,,,0,0,0,,,0,0,,,,,
2018-01-03,50,15037.594860944291,2714.355211930184,2703.5893617136585,2714.4905513875588,2687.480695154847,3644451800,-0.021710725947556297,0.006511266063921495,0.9847927992169393,0.9993127462825281,,,,,0,0,0,,,0,0,,,,,
2018-01-04,50,14656.012571242169,2658.219121341869,2654.6497601110086,2675.908544596079,2649.282588928457,3266690553,-0.025375220787013597,-0.020681188055853728,0.9598034645073483,0.9786457714500475,,,,,0,0,0,,,0,0,,,,,
2018-01-05,50,13921.60297924595,2619.7438416206764,2615.784174995324,2636.0645552255182,2609.835057163573,3022163328,-0.05010978179953718,-0.014474081317182863,0.9117079223304453,0.9644807729733623,,,,,0,0,0,,,0,0,,,,,
2018-01-06,50,14921.4525321643,2713.423526901647,2701.5991581048297,2710.884659186131,2683.9106824778114,4179385447,0.07182000193576155,0.03575910124976822,0.977186787077067,0.9989697385875715,,,,,0,0,0,,,0,0,,,,,
2018-01-07,50,14808.035487143148,2697.36420940602,2687.553727422278,2699.7342159922414,2672.8711889674432,4164635257,-0.007600938633599674,-0.0059184706465506,0.9697592502749297,0.9930573655129487,2688.017644948833,,,,1,0,0,,,0,0,,,,,
2018-01-08,50,14795.62936884735,2686.175934379099,2678.486759784036,2693.774131586222,2666.970408883872,3509014976,-0.0008377963644514708,-0.004147854779086302,0.9689467895006562,0.9889383077734989,2683.725357637312,,,,1,0,0,,,0,0,,-1.1061692226500996,,,
2018-01-09,50,14622.997838937736,2682.575118222666,2673.735561152993,2687.241052763193,2660.502335820276,3741834664,-0.011667738195246802,-0.0013404990009582285,0.9576413720356376,0.9876126369599192,2681.6938519717373,,,,1,0,0,,,0,0,,-0.5273124649789795,,,
2018-01-10,50,14777.605481078805,2682.136383628472,2675.0664022362585,2691.252884263845,2664.4742485995284,3845906923,0.01057291014085937,-0.0001635497888629045,0.9677664282093397,0.987451113121666,2677.09116221435,,,,1,0,0,,,0,0,,-1.1869790718658901,,,
