date,fng,close,rainbow_mid,rainbow_min,rainbow_max,rainbow_position,pos,portfolio_value,cash,btc_value,fees_paid,trade,equity,bh_equity,ret,strategy_ret,signal_change
2018-01-01,50,15269.805864646323,3901.1821096762646,1429.109824335923,15347.556153909833,0.9978605510453142,0,100.0,100.0,0.0,0.0,0,1.0,1.0,0.0,0.0,False
2018-01-02,50,15371.31731870359,3907.221939735776,1431.3223794622158,15371.317318703575,1.0,0,100.0,100.0,0.0,0.0,0,1.0,1.0066478549208207,0.0066478549208206505,0.0,False
2018-01-03,50,15037.594860944291,3913.269278652405,1433.53768528847,15395.108023929688,0.9901022098545157,0,100.0,100.0,0.0,0.0,0,1.0,0.9847927992169394,-0.021710725947556297,0.0,False
2018-01-04,50,14656.012571242169,3919.3241334726863,1435.7557443960234,15418.928297309787,0.9786237402794538,0,100.0,100.0,0.0,0.0,0,1.0,0.9598034645073484,-0.025375220787013597,0.0,False
2018-01-05,50,13921.60297924595,3925.386511247555,1437.9765593678267,15442.778166582804,0.9563168372991963,0,100.0,100.0,0.0,0.0,0,1.0,0.9117079223304454,-0.05010978179953718,0.0,False
2018-01-06,50,14921.4525321643,3931.4564190325373,1440.2001327885125,15466.657659505732,0.9848828613717159,0,100.0,100.0,0.0,0.0,0,1.0,0.9771867870770673,0.07182000193576155,0.0,False
2018-01-07,50,14808.035487143148,3937.533863887464,1442.4264672442903,15490.566803852502,0.9810180765299369,0,100.0,100.0,0.0,0.0,0,1.0,0.96975925027493,-0.007600938633599674,0.0,False
2018-01-08,50,14795.62936884735,3943.6188528767925,1444.655565323064,15514.505627415238,0.9800145250496686,0,100.0,100.0,0.0,0.0,0,1.0,0.9689467895006564,-0.0008377963644514708,0.0,False
2018-01-09,50,14622.997838937736,3949.711393069347,1446.8874296143374,15538.474158003251,0.9744203407667044,0,100.0,100.0,0.0,0.0,0,1.0,0.9576413720356379,-0.011667738195246802,0.0,False
2018-01-10,50,14777.605481078805,3955.811491538451,1449.1220627092625,15562.472423443547,0.9782006771863676,0,100.0,100.0,0.0,0.0,0,1.0,0.96776642820934,0.01057291014085937,0.0,False
2018-01-11,50,14612.176141146014,3961.9191553619557,1451.3594672006504,15586.500451580952,0.9728085015844347,0,100.0,100.0,0.0,0.0,0,1.0,0.9569326729278924,-0.011194597131761741,0.0,False
2018-01-12,50,14953.837186552788,3968.0343916220827,1453.5996456829125,15610.55827027748,0.9818949909057667,0,100.0,100.0,0.0,0.0,0,1.0,0.9793076165542426,0.0233819413416938,0.0,False
2018-01-13,50,14081.695964602934,3974.1572074056485,1455.8426007521439,15634.645907413218,0.9559318634869901,0,100.0,100.0,0.0,0.0,0,1.0,0.9221922065954891,-0.05832223603010245,0.0,False
