date,close,rainbow_position_v2,rainbow_v2_fire_sale,rainbow_v2_buy,rainbow_v2_accumulate,rainbow_v2_still_cheap,rainbow_v2_is_bubble,rainbow_v2_fomo,rainbow_v2_sell,rainbow_v2_max_bubble
2018-01-01,15269.805864646323,0.9970829045490843,2579.4077147474136,4403.700482446684,6227.993250145953,8052.286017845223,9876.578785544494,11700.871553243764,13525.164320943033,15349.457088642304
2018-01-02,15371.31731870359,0.9997949092486307,2579.9395543496094,4408.083320050137,6236.227085750666,8064.3708514511945,9892.514617151723,11720.658382852253,13548.802148552779,15376.945914253307
2018-01-03,15037.594860944291,0.9865091506265485,2580.4746504426457,4412.47298732984,6244.471324217034,8076.469661104228,9908.467997991422,11740.466334878616,13572.46467176581,15404.463008653005
2018-01-04,14656.012571242169,0.9711489949599525,2581.013002085174,4416.869482371685,6252.725962658196,8088.5824429447075,9924.438923231219,11760.29540351773,13596.151883804241,15432.008364090752
2018-01-05,13921.60297924595,0.9414543416357154,2581.5546083507943,4421.2728032642935,6260.990998177794,8100.709193091293,9940.427388004793,11780.145582918294,13619.863777831792,15459.581972745293
2018-01-06,14921.4525321643,0.9792270407528132,2582.099468323984,4425.6829480986935,6269.266427873403,8112.849907648112,9956.433387422821,11800.016867197532,13643.60034697224,15487.18382674695
2018-01-07,14808.035487143148,0.9739956239137013,2582.6475811039586,4430.099914970041,6277.552248836124,8125.004582702206,9972.45691656829,11819.909250434372,13667.361584300454,15514.813918166537
2018-01-08,14795.62936884735,0.9725587725486414,2583.198945802962,4434.523701976303,6285.848458149643,8137.173214322985,9988.497970496326,11839.822726669667,13691.147482843007,15542.472239016348
2018-01-09,14622.997838937736,0.9650574875963246,2583.753561545234,4438.954307216929,6294.155052888625,8149.35579856032,10004.556544232015,11859.757289903711,13714.958035575406,15570.158781247103
2018-01-10,14777.605481078805,0.9699491361021018,2584.311427468507,4443.391728795739,6302.47203012297,8161.5523314502025,10020.632632777433,11879.712934104666,13738.793235431896,15597.873536759129
2018-01-11,14612.176141146014,0.9627305657819071,2584.8725427239897,4447.835964818865,6310.79938691374,8173.7628090086155,10036.72623110349,11899.689653198366,13762.653075293241,15625.616497388117
2018-01-12,14953.837186552788,0.974611503871633,2585.436906475328,4452.287013395909,6319.137120316489,8185.9872272370685,10052.837334157648,11919.68744107823,13786.537547998809,15653.38765491939
2018-01-13,14081.695964602934,0.9403079000963355,2586.0045178997734,4456.7448726390385,6327.4852273783035,8198.225582117568,10068.965936856834,11939.7062915961,13810.446646335364,15681.18700107463
2018-01-14,14406.36266055639,0.9520124384017641,2586.575376186805,4461.209540662541,6335.843705138277,8210.477869614013,10085.11203408975,11959.746198565488,13834.380363041222,15709.01452751696
2018-01-15,15288.90302525735,0.9840044791060107,2587.149480538788,4465.681015584705,6344.212550630622,8222.744085676539,10101.275620722456,11979.807155768374,13858.338690814291,15736.870225860208
2018-01-16,14889.806342776172,0.9684006905245601,2587.726830171971,4470.15929552618,6352.591760880388,8235.024226234598,10117.456691588806,11999.889156943016,13882.321622297224,15764.754087651434
2018-01-17,14388.717540692984,0.9485213548544532,2588.3074243140927,4474.644378609983,6360.9813329058725,8247.318287201764,10133.655241497654,12019.992195793544,13906.329150089434,15792.666104385324
2018-01-18,14865.799885516264,0.9656093121909266,2588.891262206567,4479.13626296234,6369.381263718113,8259.626264473885,10149.871265229658,12040.11626598543,13930.361266741204,15820.606267496976
2018-01-19,14646.648666692605,0.9564655509944703,2589.4783431039523,4483.634946712674,6377.791550321395,8271.948153930118,10166.10475753884,12060.261361147563,13954.417964756283,15848.574568365006
2018-01-20,14835.249735692683,0.9625855366566922,2590.0686662724097,4488.140427992286,6386.212189712163,8284.28395143204,10182.355713151916,12080.427474871793,13978.49923659167,15876.570998311547
2018-01-21,14519.829797041464,0.9498026775003018,2590.662230992055,4492.652704935775,6394.643178879494,8296.633652823215,10198.624126766936,12100.614600710656,14002.605074654375,15904.595548598096
2018-01-22,13425.152472235504,0.9057164098621701,2591.2590365549045,4497.171775679721,6403.084514804536,8308.997253929352,10214.909993054169,12120.822732178985,14026.7354713038,15932.648210428617
2018-01-23,14198.625141391838,0.9356425524053195,2591.8590822662145,4501.697638364876,6411.536194463538,8321.3747505622,10231.213306660862,12141.051862759523,14050.890418858184,15960.728974956848
2018-01-24,14253.875756383652,0.9368641328644495,2592.462367443952,4506.230291133633,6419.998214823314,8333.766138512994,10247.534062202674,12161.301985892356,14075.069909582035,15988.837833271717
2018-01-25,13910.533855503652,0.9225603272441607,2593.068891417589,4510.769732129871,6428.470572842152,8346.171413554433,10263.872254266716,12181.573094978998,14099.273935691279,16016.97477640356
2018-01-26,14989.526729941588,0.9626553405826598,2593.678653531306,4515.315959502909,6436.953265474513,8358.590571446115,10280.227877417718,12201.865183389322,14123.502489360924,16045.139795332529
2018-01-27,14515.35380770585,0.944099189700043,2594.291653140581,4519.868971402784,6445.446289664988,8371.023607927193,10296.600926189396,12222.178244451601,14147.755562713803,16073.332880976008
2018-01-28,14822.514272700508,0.9546564432316057,2594.9078896135297,4524.428765982901,6453.9496423522705,8383.47051872164,10312.991395091012,12242.512271460382,14172.033147829752,16101.554024199122
2018-01-29,14585.840234202393,0.944923838696765,2595.5273623307144,4528.995341397906,6462.463320465096,8395.931299532287,10329.39927859948,12262.867257666672,14196.335236733861,16129.803215801054
2018-01-30,14786.358850818966,0.9514790753207426,2596.150070685976,4533.568695806669,6470.987320927362,8408.405946048055,10345.824571168749,12283.24319628944,14220.661821410133,16158.080446530827
2018-01-31,14306.23284392119,0.9325235219799165,2596.7760140853984,4538.148827370487,6479.5216406555755,8420.894453940664,10362.267267225754,12303.640080510844,14245.01289379593,16186.38570708102
2018-02-01,13316.965914967092,0.8924976197636836,2597.4051919474578,4542.73573425261,6488.066276557764,8433.396818862915,10378.727361168068,12324.057903473222,14269.388445778375,16214.718988083529
2018-02-02,13342.05202881204,0.8926591751979436,2598.0376037026667,4547.329414618084,6496.621225533501,8445.91303644892,10395.204847364337,12344.496658279755,14293.788469195173,16243.080280110591
2018-02-03,14400.642809449131,0.9334171484851785,2598.6732487949143,4551.929866636265,6505.186484477615,8458.443102318965,10411.699720160315,12364.956338001666,14318.212955843015,16271.469573684366
2018-02-04,13925.335664371256,0.914239716287575,2599.3121266797493,4556.5370884776785,6513.762050275607,8470.987012073536,10428.211973871465,12385.436935669395,14342.661897467322,16299.886859265252
2018-02-05,14002.166647089272,0.9163551619509361,2599.9542368255534,4561.151078315789,6522.347919806025,8483.54476129626,10444.741602786497,12405.938444276731,14367.135285766966,16328.332127257203
2018-02-06,13449.247933435126,0.8935664593374426,2600.5995787135225,4565.7718343272845,6530.9440899410465,8496.116345554809,10461.28860116857,12426.460856782334,14391.633112396095,16356.805368009858
2018-02-07,15138.764715453995,0.9570057522383224,2601.2481518361187,4570.399354689379,6539.55055754264,8508.7017603959,10477.85296324916,12447.00416610242,14416.15536895568,16385.306571808942
2018-02-08,13808.643423090538,0.9061667222742144,2601.8999556992653,4575.033637583831,6548.167319468395,8521.30100135296,10494.434683237527,12467.568365122093,14440.702047006656,16413.835728891223
2018-02-09,14101.912483290353,0.9167000856214812,2602.5549898199465,4579.674681193206,6556.794372566466,8533.914063939726,10511.033755312987,12488.153446686247,14465.273138059507,16442.392829432767
2018-02-10,13725.52440088688,0.9011614018707081,2603.2132537294247,4584.322483703482,6565.431713677541,8546.540943651598,10527.650173625656,12508.759403599714,14489.86863357377,16470.97786354783
2018-02-11,13552.78273667094,0.893440956270275,2603.8747469691366,4588.977043302984,6574.0793396368335,8559.18163597068,10544.28393230453,12529.38622863838,14514.488524972227,16499.590821306076
2018-02-12,14674.858352055217,0.935635181143794,2604.539469093914,4593.638358181771,6582.737247269628,8571.836136357486,10560.935025445342,12550.033914533202,14539.132803621058,16528.231692708916
2018-02-13,13675.6222323513,0.8966154340069171,2605.2074196712824,4598.306426533335,6591.405433395388,8584.50444025744,10577.603447119493,12570.702453981547,14563.801460843597,16556.90046770565
2018-02-14,13724.68938518998,0.8976972535147723,2605.8785982794034,4602.981246551919,6600.083894824434,8597.186543096948,10594.289191369464,12591.39183964198,14588.494487914495,16585.59713618701
2018-02-15,12542.201229057811,0.848201872620107,2606.553004510293,4607.662816435893,6608.772628361492,8609.882440287092,10610.992252212693,12612.102064138293,14613.211876063893,16614.321687989494
2018-02-16,13337.068131775017,0.8805382422896104,2607.2306379670795,4612.351134384631,6617.471630802182,8622.592127219734,10627.712623637284,12632.833120054836,14637.953616472387,16643.07411288994
2018-02-17,13917.11435263124,0.902649145505227,2607.911498265863,4617.046198600879,6626.180898935894,8635.31559927091,10644.450299605925,12653.584999940942,14662.719700275957,16671.854400610973
2018-02-18,14467.630990786338,0.9226910649998371,2608.5955850345035,4621.748007288941,6634.900429543379,8648.052851797816,10661.205274052254,12674.357696306692,14687.51011856113,16700.662540815567
2018-02-19,14124.257840725068,0.9088961956812556,2609.2828979126066,4626.456558655445,6643.630219398285,8660.803880141124,10677.977540883963,12695.151201626803,14712.324862369642,16729.49852311248
2018-02-20,13948.893330825857,0.9013221048129629,2609.9734365520176,4631.171850909146,6652.370265266275,8673.568679623404,10694.767093980532,12715.965508337662,14737.16392269479,16758.36233705192
2018-02-21,14197.195065147276,0.9099547428582122,2610.6672006176605,4635.893882262111,6661.120563906561,8686.347245551011,10711.573927195463,12736.800608839912,14762.027290484362,16787.253972128812
2018-02-22,13570.677309935258,0.8848679816515357,2611.364189785473,4640.622650927951,6669.881112070429,8699.139573212906,10728.398034355385,12757.656495497864,14786.91495664034,16816.17341778282
2018-02-23,13490.85777302302,0.8808700129524081,2612.064403743244,4645.358155121759,6678.651906500275,8711.94565787879,10745.239409257305,12778.533160635823,14811.826912014338,16845.120663392852
2018-02-24,12271.371266984524,0.8292506471803546,2612.7678421917944,4650.100393062061,6687.432943932326,8724.765494802592,10762.098045672858,12799.430596543127,14836.763147413389,16874.095698283658
2018-02-25,13083.670378495815,0.8627974157398114,2613.4745048434233,4654.849362969328,6696.224221095231,8737.599079221134,10778.973937347038,12820.348795472943,14861.723653598847,16903.09851172475
2018-02-26,12388.905449439337,0.832779450537938,2614.1843914222345,4659.605063065945,6705.025734709656,8750.446406353367,10795.867077997076,12841.28774964079,14886.708421284497,16932.129092928208
2018-02-27,13945.360098003,0.8952877407970307,2614.8975016641216,4664.367491576356,6713.83748148859,8763.307471400825,10812.777461313059,12862.247451225294,14911.717441137527,16961.187431049762
2018-02-28,12917.307939123166,0.8535264090223275,2615.61383531812,4669.1366467275875,6722.6594581370555,8776.182269546523,10829.705080955991,12883.22789236546,14936.750703774927,16990.273515184395
2018-03-01,13133.01877649098,0.8615687168170736,2616.3333921438266,4673.912526748625,6731.491661353424,8789.070795958223,10846.64993056302,12904.22906516782,14961.808199772619,17019.387334377418
2018-03-02,13287.135668946888,0.8669873247357196,2617.056171913438,4678.695129870733,6740.334087828027,8801.973045785322,10863.612003742617,12925.250961699912,14986.889919657207,17048.528877614503
2018-03-03,12422.225595072669,0.8302877484005637,2617.782174410537,4683.484454326891,6749.186734243245,8814.889014159598,10880.591294075952,12946.293573992307,15011.99585390866,17077.698133825015
2018-03-04,13407.053935119391,0.8701562211106785,2618.511399431276,4688.280498352811,6758.049597274346,8827.81869619588,10897.587795117415,12967.35689403895,15037.125992960484,17106.89509188202
2018-03-05,12639.661907978552,0.83796603222314,2619.2438467831644,4693.0832601862185,6766.922673589272,8840.762086992325,10914.60150039538,12988.440913798433,15062.280327201486,17136.11974060454
2018-03-06,12609.305800795702,0.8359022843571003,2619.9795162859104,4697.892738066453,6775.805959846995,8853.719181627537,10931.632403408079,13009.545625188623,15087.458846969164,17165.372068749708
2018-03-07,13169.367838333115,0.858222414567115,2620.7184077707198,4702.708930235632,6784.699452700544,8866.689975165456,10948.680497630368,13030.67102009528,15112.661542560192,17194.652065025104
2018-03-08,13315.857493571528,0.8633007910347184,2621.460521080283,4707.531834936715,6793.603148793148,8879.67446264958,10965.745776506013,13051.817090362445,15137.888404218877,17223.95971807531
2018-03-09,13997.656845809066,0.8890049847579349,2622.2058560697874,4712.361450416625,6802.517044763463,8892.6726391103,10982.828233457138,13072.983827803975,15163.139422150813,17253.29501649765
2018-03-10,12178.828285560754,0.8143608289561451,2622.9544126060496,4717.197774922926,6811.441137239803,8905.684499556679,10999.927861873555,13094.171224190432,15188.414586507308,17282.657948824184
2018-03-11,12294.51605036532,0.818609972082308,2623.7061905668097,4722.040806705156,6820.375422843502,8918.710038981848,11017.044655120193,13115.379271258542,15213.713887396887,17312.048503535232
2018-03-12,12211.759992506995,0.8142694110934203,2624.461189843124,4726.890544016394,6829.319898189666,8931.749252362937,11034.178606536207,13136.60796070948,15239.03731488275,17341.466669056023
2018-03-13,12534.627927452651,0.8273198428202415,2625.219410335572,4731.746985109532,6838.274559883492,8944.802134657451,11051.329709431411,13157.857284205373,15264.38485897933,17370.912433753292
2018-03-14,12127.064528387453,0.8090716816826994,2625.9808519588805,4736.610128242199,6847.239404525517,8957.868680808835,11068.497957092153,13179.127233375471,15289.75650965879,17400.385785942108
2018-03-15,12640.675343666424,0.8302369320971776,2626.7455146370994,4741.479971670362,6856.214428703625,8970.948885736889,11085.683342770151,13200.417799803416,15315.152256836678,17429.886713869942
2018-03-16,12563.176927488705,0.8262214387881409,2627.513398307711,4746.356513656243,6865.1996290047755,8984.042744353308,11102.88585970184,13221.728975050373,15340.572090398902,17459.415205747435
2018-03-17,12345.62650678392,0.8162402865797957,2628.284502919041,4751.23975246072,6874.1950020024005,8997.15025154408,11120.10550108576,13243.060750627441,15366.01600016912,17488.9712497108
2018-03-18,13434.434474152884,0.8600471395491419,2629.058828430929,4756.129686347823,6883.200544264717,9010.27140218161,11137.342260098503,13264.413118015398,15391.483975932291,17518.554833849186
